tool,index,params,platform,dataset,num_seqs,sum_len,num_seqs_denom,sum_len_denom,TPR_seqs,TPR_bp,tool2,1_minus_TPR_bp
detaxizer,default,default,ill,HG00438,917968,137695200,201674560,30251184000,0.9954482707189246,0.9954482707189246,detaxizer,0.0045517292810753895
nohuman,hprc,default,ill,HG00438,371634,55745100,201674560,30251184000,0.9981572589026598,0.9981572589026598,nohuman,0.0018427410973401726
deacon,panhuman-1,k31w15m2,ill,HG00438,2362,354300,201674560,30251184000,0.9999882880617169,0.9999882880617169,deacon,1.1711938283087697e-05
hostile,human-t2t-hla,default,ill,HG00438,123394,18509100,201674560,30251184000,0.9993881528736197,0.9993881528736197,hostile,0.0006118471263802938
detaxizer,standard,default,ill,HG00438,11460,1719000,201674560,30251184000,0.9999431757778472,0.9999431757778472,detaxizer-std,5.6824222152807025e-05
detaxizer,default,default,ont,HG00438,1584,1932675,3041509,30251196995,0.9994792058810281,0.9999361124453912,detaxizer,6.388755460884354e-05
nohuman,hprc,default,ont,HG00438,584,1552199,3041509,30251196995,0.9998079900470457,0.9999486896667178,nohuman,5.1310333282206244e-05
deacon,panhuman-1,k31w15m2,ont,HG00438,1064,1335553,3041509,30251196995,0.9996501736473573,0.9999558512345736,deacon,4.414876542635504e-05
hostile,human-t2t-hla,default,ont,HG00438,1218,1362077,3041509,30251196995,0.9995995408857906,0.999954974442822,hostile,4.5025557178002273e-05
detaxizer,standard,default,ont,HG00438,130,48543,3041509,30251196995,0.9999572580584177,0.9999983953362239,detaxizer-std,1.6046637760780413e-06
detaxizer,default,default,ill,HG00735,908648,136297200,202236120,30335418000,0.9955069944973233,0.9955069944973233,detaxizer,0.004493005502676728
nohuman,hprc,default,ill,HG00735,357332,53599800,202236120,30335418000,0.9982330950574012,0.9982330950574012,nohuman,0.0017669049425987904
deacon,panhuman-1,k31w15m2,ill,HG00735,2354,353100,202236120,30335418000,0.9999883601406119,0.9999883601406119,deacon,1.1639859388123952e-05
hostile,human-t2t-hla,default,ill,HG00735,145676,21851400,202236120,30335418000,0.9992796736804483,0.9992796736804483,hostile,0.0007203263195516563
detaxizer,standard,default,ill,HG00735,7490,1123500,202236120,30335418000,0.9999629640837651,0.9999629640837651,detaxizer-std,3.703591623493985e-05
detaxizer,default,default,ont,HG00735,1565,1732455,3048520,30335429471,0.9994866361381917,0.9999428900453954,detaxizer,5.710995460461721e-05
nohuman,hprc,default,ont,HG00735,544,1414167,3048520,30335429471,0.9998215527534673,0.9999533823313314,nohuman,4.661766866864703e-05
deacon,panhuman-1,k31w15m2,ont,HG00735,1039,1208972,3048520,30335429471,0.9996591788802436,0.9999601465342314,deacon,3.9853465768624474e-05
hostile,human-t2t-hla,default,ont,HG00735,998,1044508,3048520,30335429471,0.9996726280293389,0.9999655680496958,hostile,3.443195030417012e-05
detaxizer,standard,default,ont,HG00735,107,36138,3048520,30335429471,0.9999649010011415,0.9999988087196842,detaxizer-std,1.191280315837595e-06
detaxizer,default,default,ill,HG01123,917768,137665200,200946526,30141978900,0.9954327749861175,0.9954327749861175,detaxizer,0.004567225013882514
nohuman,hprc,default,ill,HG01123,361118,54167700,200946526,30141978900,0.9982029149386737,0.9982029149386737,nohuman,0.0017970850613262535
deacon,panhuman-1,k31w15m2,ill,HG01123,8778,1316700,200946526,30141978900,0.9999563167367223,0.9999563167367223,deacon,4.368326327774952e-05
hostile,human-t2t-hla,default,ill,HG01123,119958,17993700,200946526,30141978900,0.9994030352134577,0.9994030352134577,hostile,0.0005969647865422534
detaxizer,standard,default,ill,HG01123,15356,2303400,200946526,30141978900,0.9999235816597297,0.9999235816597297,detaxizer-std,7.641834027027894e-05
detaxizer,default,default,ont,HG01123,1734,2854769,3028640,30141992989,0.9994274657932273,0.9999052893084727,detaxizer,9.471069152733325e-05
nohuman,hprc,default,ont,HG01123,549,1332469,3028640,30141992989,0.999818730519309,0.9999557935999625,nohuman,4.420640003754972e-05
deacon,panhuman-1,k31w15m2,ont,HG01123,1023,1269641,3028640,30141992989,0.9996622246288763,0.9999578780009516,deacon,4.2121999048405634e-05
hostile,human-t2t-hla,default,ont,HG01123,1138,1993010,3028640,30141992989,0.9996242537904803,0.9999338792892452,hostile,6.612071075484671e-05
detaxizer,standard,default,ont,HG01123,254,1047063,3028640,30141992989,0.9999161339743251,0.9999652623169151,detaxizer-std,3.473768308492886e-05
detaxizer,default,default,ill,HG01891,951204,142680600,202882176,30432326400,0.9953115447657659,0.9953115447657659,detaxizer,0.004688455234234112
nohuman,hprc,default,ill,HG01891,379822,56973300,202882176,30432326400,0.9981278690544013,0.9981278690544013,nohuman,0.0018721309455986823
deacon,panhuman-1,k31w15m2,ill,HG01891,5418,812700,202882176,30432326400,0.9999732948447871,0.9999732948447871,deacon,2.6705155212858322e-05
hostile,human-t2t-hla,default,ill,HG01891,160250,24037500,202882176,30432326400,0.9992101326831195,0.9992101326831195,hostile,0.000789867316880466
detaxizer,standard,default,ill,HG01891,16752,2512800,202882176,30432326400,0.9999174299076918,0.9999174299076918,detaxizer-std,8.257009230816514e-05
detaxizer,default,default,ont,HG01891,1655,2189139,3061298,30432340788,0.9994593796487634,0.999928065375738,detaxizer,7.193462426202668e-05
nohuman,hprc,default,ont,HG01891,563,1444567,3061298,30432340788,0.9998160910829328,0.9999525318472849,nohuman,4.7468152715057776e-05
deacon,panhuman-1,k31w15m2,ont,HG01891,1038,1240238,3061298,30432340788,0.9996609281422455,0.999959246053117,deacon,4.075394688296541e-05
hostile,human-t2t-hla,default,ont,HG01891,1250,1597156,3061298,30432340788,0.9995916764718756,0.9999475178064308,hostile,5.248219356923656e-05
detaxizer,standard,default,ont,HG01891,177,359427,3061298,30432340788,0.9999421813884176,0.9999881893081277,detaxizer-std,1.1810691872282675e-05
detaxizer,default,default,ill,HG01928,885080,132762000,194870254,29230538100,0.9954581061920307,0.9954581061920307,detaxizer,0.004541893807969322
nohuman,hprc,default,ill,HG01928,431496,64724400,194870254,29230538100,0.9977857267020342,0.9977857267020342,nohuman,0.002214273297965752
deacon,panhuman-1,k31w15m2,ill,HG01928,2164,324600,194870254,29230538100,0.9999888951753508,0.9999888951753508,deacon,1.110482464916629e-05
hostile,human-t2t-hla,default,ill,HG01928,120824,18123600,194870254,29230538100,0.9993799772026777,0.9993799772026777,hostile,0.0006200227973223171
detaxizer,standard,default,ill,HG01928,9314,1397100,194870254,29230538100,0.9999522040957569,0.9999522040957569,detaxizer-std,4.779590424308644e-05
detaxizer,default,default,ont,HG01928,1515,1756519,2936657,29230552974,0.9994841072689116,0.999939908115951,detaxizer,6.009188404898502e-05
nohuman,hprc,default,ont,HG01928,511,1249637,2936657,29230552974,0.9998259926167747,0.999957248944243,nohuman,4.275105575701765e-05
deacon,panhuman-1,k31w15m2,ont,HG01928,1015,1217304,2936657,29230552974,0.9996543688963335,0.9999583550813739,deacon,4.164491862612696e-05
hostile,human-t2t-hla,default,ont,HG01928,1193,1188305,2936657,29230552974,0.9995937557569713,0.9999593471597661,hostile,4.065284023391236e-05
detaxizer,standard,default,ont,HG01928,119,47557,2936657,29230552974,0.9999594777326736,0.9999983730379634,detaxizer-std,1.6269620366493598e-06
detaxizer,default,default,ill,HG02080,916758,137513700,201633718,30245057700,0.9954533497219944,0.9954533497219944,detaxizer,0.004546650278005604
nohuman,hprc,default,ill,HG02080,354662,53199300,201633718,30245057700,0.9982410580754157,0.9982410580754157,nohuman,0.0017589419245842564
deacon,panhuman-1,k31w15m2,ill,HG02080,2114,317100,201633718,30245057700,0.9999895156424184,0.9999895156424184,deacon,1.048435758155275e-05
hostile,human-t2t-hla,default,ill,HG02080,116572,17485800,201633718,30245057700,0.9994218625676485,0.9994218625676485,hostile,0.0005781374323514665
detaxizer,standard,default,ill,HG02080,12032,1804800,201633718,30245057700,0.9999403274406714,0.9999403274406714,detaxizer-std,5.9672559328594055e-05
detaxizer,default,default,ont,HG02080,1615,1796929,3041132,30245075108,0.9994689477470889,0.9999405877157328,detaxizer,5.94122842672018e-05
nohuman,hprc,default,ont,HG02080,539,1048146,3041132,30245075108,0.9998227633657467,0.9999653449033848,nohuman,3.465509661515487e-05
deacon,panhuman-1,k31w15m2,ont,HG02080,1112,1312236,3041132,30245075108,0.9996343466840637,0.9999566132338797,deacon,4.3386766120256937e-05
hostile,human-t2t-hla,default,ont,HG02080,1136,1141628,3041132,30245075108,0.999626454885878,0.9999622540861306,hostile,3.7745913869402514e-05
detaxizer,standard,default,ont,HG02080,126,47906,3041132,30245075108,0.9999585680595252,0.9999984160727051,detaxizer-std,1.5839272948792171e-06
detaxizer,default,default,ill,HG02572,921878,138281700,196241856,29436278400,0.9953023375400608,0.9953023375400608,detaxizer,0.004697662459939189
nohuman,hprc,default,ill,HG02572,433390,65008500,196241856,29436278400,0.997791551665716,0.997791551665716,nohuman,0.002208448334284019
deacon,panhuman-1,k31w15m2,ill,HG02572,1904,285600,196241856,29436278400,0.9999902976865445,0.9999902976865445,deacon,9.702313455539624e-06
hostile,human-t2t-hla,default,ill,HG02572,152116,22817400,196241856,29436278400,0.9992248544571449,0.9992248544571449,hostile,0.0007751455428550713
detaxizer,standard,default,ill,HG02572,12074,1811100,196241856,29436278400,0.9999384738799046,0.9999384738799046,detaxizer-std,6.152612009535652e-05
detaxizer,default,default,ont,HG02572,1676,1831469,2960294,29436301680,0.9994338400172416,0.999937781959843,detaxizer,6.221804015704713e-05
nohuman,hprc,default,ont,HG02572,569,1370483,2960294,29436301680,0.9998077893614621,0.9999534424189934,nohuman,4.655758100657881e-05
deacon,panhuman-1,k31w15m2,ont,HG02572,1029,1233391,2960294,29436301680,0.9996523993900606,0.9999580996616556,deacon,4.190033834439166e-05
hostile,human-t2t-hla,default,ont,HG02572,1426,1333625,2960294,29436301680,0.9995182910886554,0.9999546945463973,hostile,4.5305453602706436e-05
detaxizer,standard,default,ont,HG02572,120,39770,2960294,29436301680,0.9999594634857214,0.9999986489471255,detaxizer-std,1.3510528744653527e-06
detaxizer,default,default,ill,HG03098,926094,138914100,195709722,29356458300,0.9952680225052898,0.9952680225052898,detaxizer,0.0047319774947102156
nohuman,hprc,default,ill,HG03098,465196,69779400,195709722,29356458300,0.9976230307046269,0.9976230307046269,nohuman,0.0023769692953731214
deacon,panhuman-1,k31w15m2,ill,HG03098,2044,306600,195709722,29356458300,0.9999895559608428,0.9999895559608428,deacon,1.0444039157175844e-05
hostile,human-t2t-hla,default,ill,HG03098,160950,24142500,195709722,29356458300,0.9991776085604986,0.9991776085604986,hostile,0.0008223914395013576
detaxizer,standard,default,ill,HG03098,14998,2249700,195709722,29356458300,0.9999233660962433,0.9999233660962433,detaxizer-std,7.663390375667323e-05
detaxizer,default,default,ont,HG03098,1653,1795950,2951158,29356477574,0.9994398808874347,0.9999388227012088,detaxizer,6.117729879118183e-05
nohuman,hprc,default,ont,HG03098,563,1471899,2951158,29356477574,0.9998092274286907,0.9999498611849365,nohuman,5.013881506354956e-05
deacon,panhuman-1,k31w15m2,ont,HG03098,1077,1278960,2951158,29356477574,0.9996350585092361,0.9999564334652624,deacon,4.356653473758243e-05
hostile,human-t2t-hla,default,ont,HG03098,1365,1421838,2951158,29356477574,0.9995374696983353,0.9999515664644569,hostile,4.843353554306873e-05
detaxizer,standard,default,ont,HG03098,121,42249,2951158,29356477574,0.9999589991454202,0.9999985608286998,detaxizer-std,1.4391713002437356e-06
detaxizer,default,default,ill,HG03492,887830,133174500,194911074,29236661100,0.9954449483973394,0.9954449483973394,detaxizer,0.004555051602660565
nohuman,hprc,default,ill,HG03492,434060,65109000,194911074,29236661100,0.9977730357178166,0.9977730357178166,nohuman,0.0022269642821833857
deacon,panhuman-1,k31w15m2,ill,HG03492,4238,635700,194911074,29236661100,0.9999782567510761,0.9999782567510761,deacon,2.1743248923900005e-05
hostile,human-t2t-hla,default,ill,HG03492,116656,17498400,194911074,29236661100,0.9994014911641192,0.9994014911641192,hostile,0.0005985088358807511
detaxizer,standard,default,ill,HG03492,14372,2155800,194911074,29236661100,0.999926263809926,0.999926263809926,detaxizer-std,7.3736190074003e-05
detaxizer,default,default,ont,HG03492,1649,2088664,2938049,29236686318,0.999438743193187,0.9999285601665906,detaxizer,7.143983340940352e-05
nohuman,hprc,default,ont,HG03492,627,1682376,2938049,29236686318,0.9997865930758814,0.9999424566798816,nohuman,5.7543320118425e-05
deacon,panhuman-1,k31w15m2,ont,HG03492,1066,1252359,2938049,29236686318,0.9996371741928062,0.9999571648104584,deacon,4.2835189541623464e-05
hostile,human-t2t-hla,default,ont,HG03492,1253,1597899,2938049,29236686318,0.999573526513683,0.9999453460976179,hostile,5.465390238212908e-05
detaxizer,standard,default,ont,HG03492,160,392913,2938049,29236686318,0.9999455420927289,0.9999865609598938,detaxizer-std,1.3439040106200117e-05
detaxizer,default,default,ill,HG03516,973158,145973700,204467036,30670055400,0.9952405139770305,0.9952405139770305,detaxizer,0.004759486022969495
nohuman,hprc,default,ill,HG03516,363984,54597600,204467036,30670055400,0.9982198401897898,0.9982198401897898,nohuman,0.00178015981021018
deacon,panhuman-1,k31w15m2,ill,HG03516,9620,1443000,204467036,30670055400,0.9999529508512072,0.9999529508512072,deacon,4.704914879283262e-05
hostile,human-t2t-hla,default,ill,HG03516,169512,25426800,204467036,30670055400,0.999170956828464,0.999170956828464,hostile,0.0008290431715359814
detaxizer,standard,default,ill,HG03516,20804,3120600,204467036,30670055400,0.9998982525476625,0.9998982525476625,detaxizer-std,0.00010174745233748617
detaxizer,default,default,ont,HG03516,1706,2972949,3083418,30670064751,0.9994467178955302,0.9999030667517614,detaxizer,9.693324823856209e-05
nohuman,hprc,default,ont,HG03516,515,1062041,3083418,30670064751,0.9998329775593189,0.9999653720652818,nohuman,3.4627934718201026e-05
deacon,panhuman-1,k31w15m2,ont,HG03516,1061,1345568,3083418,30670064751,0.9996559013406551,0.9999561276439771,deacon,4.38723560228782e-05
hostile,human-t2t-hla,default,ont,HG03516,1450,2714476,3083418,30670064751,0.9995297426427425,0.9999114942853222,hostile,8.85057146777779e-05
detaxizer,standard,default,ont,HG03516,249,1223046,3083418,30670064751,0.9999192454607192,0.9999601224839292,detaxizer-std,3.9877516070818686e-05
detaxizer,default,default,ill,NA18906,960748,144112200,203088696,30463304400,0.9952693181899204,0.9952693181899204,detaxizer,0.004730681810079629
nohuman,hprc,default,ill,NA18906,370650,55597500,203088696,30463304400,0.9981749353494298,0.9981749353494298,nohuman,0.0018250646505701962
deacon,panhuman-1,k31w15m2,ill,NA18906,2892,433800,203088696,30463304400,0.9999857599164456,0.9999857599164456,deacon,1.4240083554439842e-05
hostile,human-t2t-hla,default,ill,NA18906,142918,21437700,203088696,30463304400,0.9992962779179004,0.9992962779179004,hostile,0.0007037220820995671
detaxizer,standard,default,ill,NA18906,15778,2366700,203088696,30463304400,0.9999223098069426,0.9999223098069426,detaxizer-std,7.769019305736702e-05
detaxizer,default,default,ont,NA18906,1556,1672964,3062202,30463316234,0.9994918689230822,0.9999450826696887,detaxizer,5.4917330311266e-05
nohuman,hprc,default,ont,NA18906,514,1021926,3062202,30463316234,0.9998321469321749,0.9999664538820346,nohuman,3.3546117965355116e-05
deacon,panhuman-1,k31w15m2,ont,NA18906,1025,1243087,3062202,30463316234,0.9996652735515162,0.9999591939698734,deacon,4.0806030126572246e-05
hostile,human-t2t-hla,default,ont,NA18906,1055,1078809,3062202,30463316234,0.9996554766798532,0.9999645866197983,hostile,3.5413380201743117e-05
detaxizer,standard,default,ont,NA18906,125,44755,3062202,30463316234,0.9999591797014045,0.999998530855943,detaxizer-std,1.469144056964744e-06
detaxizer,default,default,ill,NA20129,948146,142221900,201938140,30290721000,0.9953047700647337,0.9953047700647337,detaxizer,0.004695229935266276
nohuman,hprc,default,ill,NA20129,352332,52849800,201938140,30290721000,0.9982552478694713,0.9982552478694713,nohuman,0.001744752130528715
deacon,panhuman-1,k31w15m2,ill,NA20129,2576,386400,201938140,30290721000,0.9999872436182684,0.9999872436182684,deacon,1.2756381731593436e-05
hostile,human-t2t-hla,default,ill,NA20129,152148,22822200,201938140,30290721000,0.9992465613479454,0.9992465613479454,hostile,0.0007534386520545722
detaxizer,standard,default,ill,NA20129,11212,1681800,201938140,30290721000,0.9999444780465939,0.9999444780465939,detaxizer-std,5.552195340607913e-05
detaxizer,default,default,ont,NA20129,1630,1789063,3044468,30290734065,0.9994646026826361,0.9999409369546423,detaxizer,5.906304535774343e-05
nohuman,hprc,default,ont,NA20129,611,1777388,3044468,30290734065,0.9997993081221416,0.999941322386041,nohuman,5.867761395894622e-05
deacon,panhuman-1,k31w15m2,ont,NA20129,1096,1327911,3044468,30290734065,0.9996400027853799,0.9999561611482525,deacon,4.383885174752411e-05
hostile,human-t2t-hla,default,ont,NA20129,1091,1184087,3044468,30290734065,0.9996416451084393,0.9999609092669244,hostile,3.909073307561961e-05
detaxizer,standard,default,ont,NA20129,139,52257,3044468,30290734065,0.9999543434189487,0.9999982748189632,detaxizer-std,1.725181036804635e-06
