dataset,base_pairs,file_format,speed_mbps,time_s
chm13v2,31172756092,.fasta,292.0,106.75
chm13v2,31172756092,.fasta.zst,249.2,125.09
chm13v2,31172756092,.fasta.gz,191.3,162.97
chm13v2,31172756092,.fastq,266.0,117.19
chm13v2,31172756092,.fastq.zst,229.7,135.71
chm13v2,31172756092,.fastq.gz,179.2,174.00
argos988,41207981833,.fasta,230.5,178.79
argos988,41207981833,.fasta.zst,151.9,271.21
argos988,41207981833,.fasta.gz,105.5,390.74
argos988,41207981833,.fastq,192.2,214.36
argos988,41207981833,.fastq.zst,139.5,295.30
argos988,41207981833,.fastq.gz,96.8,425.70